Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BRN,Barnwell Industries Inc. Common Stock,$2.67,0.10,3.891%,26584354.00,United States,,253454,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.73,0.14,3.05%,5003590560.00,Canada,,7584964,,
BTN,Ballantyne Strong Inc. Common Stock,$3.07,-0.01,-0.325%,59104668.00,United States,,14399,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$2.61,0.06,2.353%,76641898.00,,2021,77603,Consumer Non-Durables,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.19,-0.05,-4.032%,32357936.00,Israel,,247158,Health Care,Biotechnology: Pharmaceutical Preparations
CCF,Chase Corporation Common Stock,$87.61,0.70,0.805%,828763003.00,United States,,18977,Basic Industries,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$0.83,-0.0165,-1.949%,298892221.00,United States,,16108499,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$41.17,-0.22,-0.532%,1122557029.00,United States,,8143,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$11.53,0.05,0.436%,82250120.00,United States,1999,35196,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.07,0.02,0.656%,160680705.00,United States,,246094,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$23.31,-0.21,-0.893%,288593115.00,United States,1998,3401,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$10.80,-0.11,-1.008%,20978946.00,United States,,13133,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$14.24,0.15,1.065%,1715803189.00,United States,1987,997765,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$15.235,0.025,0.164%,195512675.00,Canada,,35188,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$10.75,-0.01,-0.093%,91117505.00,United States,,6415,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$16.34,0.19,1.176%,28074326.00,United States,,14762,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.389,-0.001,-0.256%,18415088.00,China,,426824,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$56.57,0.21,0.373%,27381414348.00,United States,2007,146447,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.99,0.08,0.575%,889003783.00,United States,,609257,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$1.33,-0.01,-0.746%,17627015.00,United States,2017,51695,Technology,Retail: Computer Software & Peripheral Equipment
CTGO,Contango ORE Inc. Common Stock,$23.00,-1.50,-6.122%,155152250.00,,2021,1875,Basic Industries,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$3.91,-0.02,-0.509%,169208136.00,United States,,449318,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.4277,0.00,0.00%,25532647.00,United States,,87,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.00,0.05,1.695%,37038657.00,United States,,22973,Capital Goods,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.87,0.053,6.487%,142892815.00,,,818826,,
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.17,-0.01,-0.459%,224624805.00,United States,1998,640337,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$160.98,5.68,3.657%,93817373.00,United States,,3936,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$29.94,0.15,0.504%,208049258.00,United States,,12067,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.49,-0.10,-1.318%,155457429.00,United States,1988,50477,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.64,0.04,2.50%,1340053251.00,Canada,,7155668,,
DSS,DSS Inc. Common Stock,$0.58,0.007,1.222%,48565003.00,United States,,795696,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.6789,0.014,2.106%,14174880.00,China,,320313,Consumer Non-Durables,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$8.02,0.12,1.519%,485901436.00,United States,2003,181031,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.68,0.09,0.85%,148664682.00,United States,1986,28210,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$24.92,-0.05,-0.20%,,United States,,613,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.57,0.07,0.609%,832498339.00,United States,2002,321075,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.64,-0.02,-0.429%,124929128.00,United States,,6591,Consumer Non-Durables,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$25.61,-0.99,-3.722%,329070445.00,Israel,,238,Public Utilities,Electric Utilities: Central
